epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
78,2924.13,0.47699,0.21716,0.00053,0.65892,0.62553,0.64861,0.56499,0.55097,1.18371,0.00095,5.06301e-05,5.06301e-05,5.06301e-05
79,2955.2,0.46181,0.21816,0.00057,0.68822,0.60208,0.64902,0.56088,0.54152,1.17175,0.00094,4.85214e-05,4.85214e-05,4.85214e-05
80,2986.33,0.46954,0.20643,0.00054,0.68662,0.60505,0.62062,0.54515,0.54124,1.17601,0.00094,4.64127e-05,4.64127e-05,4.64127e-05
81,3017.47,0.45747,0.20801,0.00054,0.73621,0.55665,0.64764,0.56564,0.53484,1.16782,0.00092,4.4304e-05,4.4304e-05,4.4304e-05
82,3048.56,0.43524,0.19361,0.00054,0.66898,0.59788,0.64986,0.56314,0.54947,1.14005,0.00095,4.21953e-05,4.21953e-05,4.21953e-05
83,3079.71,0.46216,0.20357,0.00053,0.65595,0.62204,0.63658,0.55295,0.5426,1.14302,0.00093,4.00866e-05,4.00866e-05,4.00866e-05
84,3110.78,0.44905,0.20953,0.00053,0.69481,0.60312,0.62376,0.54472,0.53205,1.16369,0.00091,3.79779e-05,3.79779e-05,3.79779e-05
85,3141.92,0.46246,0.2177,0.00056,0.64595,0.60647,0.61884,0.54142,0.53598,1.17615,0.00092,3.58692e-05,3.58692e-05,3.58692e-05
86,3172.99,0.45908,0.20546,0.00053,0.66906,0.60156,0.63763,0.55698,0.53593,1.17707,0.00092,3.37605e-05,3.37605e-05,3.37605e-05
87,3204.14,0.44266,0.20232,0.00052,0.67599,0.61924,0.64987,0.56411,0.53963,1.17166,0.00094,3.16518e-05,3.16518e-05,3.16518e-05
88,3235.22,0.45281,0.19709,0.00054,0.65886,0.62118,0.64972,0.56793,0.53069,1.17501,0.00091,2.95431e-05,2.95431e-05,2.95431e-05
89,3266.38,0.4729,0.20499,0.00054,0.69951,0.58561,0.65022,0.56505,0.53983,1.18051,0.00093,2.74344e-05,2.74344e-05,2.74344e-05
90,3297.48,0.42558,0.17468,0.0005,0.72397,0.56783,0.64812,0.56221,0.54205,1.19734,0.00093,2.53257e-05,2.53257e-05,2.53257e-05
91,3333.43,0.44117,0.19115,0.00061,0.66581,0.58361,0.62992,0.55261,0.54353,1.23718,0.00094,2.3217e-05,2.3217e-05,2.3217e-05
92,3366.5,0.41292,0.16513,0.00054,0.73074,0.55825,0.63205,0.55136,0.55772,1.25476,0.00097,2.11083e-05,2.11083e-05,2.11083e-05
93,3399.09,0.4081,0.17281,0.00053,0.72421,0.54372,0.62888,0.54842,0.54601,1.21995,0.00095,1.89996e-05,1.89996e-05,1.89996e-05
94,3430.72,0.42125,0.16314,0.00056,0.67562,0.59726,0.62624,0.54717,0.55147,1.20019,0.00097,1.68909e-05,1.68909e-05,1.68909e-05
95,3461.75,0.39454,0.16737,0.00053,0.70113,0.57338,0.63211,0.55381,0.55592,1.20058,0.00098,1.47822e-05,1.47822e-05,1.47822e-05
96,3493.07,0.39961,0.14713,0.00053,0.67389,0.58493,0.62805,0.54933,0.54821,1.2089,0.00095,1.26735e-05,1.26735e-05,1.26735e-05
97,3524.41,0.38653,0.1475,0.00051,0.67756,0.58963,0.62866,0.54884,0.55244,1.20197,0.00095,1.05648e-05,1.05648e-05,1.05648e-05
98,3555.36,0.39812,0.14941,0.00051,0.6864,0.5907,0.63075,0.55152,0.5533,1.19421,0.00096,8.4561e-06,8.4561e-06,8.4561e-06
99,3586.48,0.39443,0.14882,0.00053,0.67577,0.61849,0.62656,0.54761,0.55025,1.19105,0.00095,6.3474e-06,6.3474e-06,6.3474e-06
100,3617.51,0.40291,0.15948,0.0005,0.68778,0.58567,0.6318,0.55138,0.55185,1.19113,0.00096,4.2387e-06,4.2387e-06,4.2387e-06
