epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
84,1603.72,1.11227,0.56627,0.00091,0.70364,0.5809,0.65052,0.54235,0.98938,1.20065,0.00099,0.000276502,0.000276502,0.000276502
85,1622.93,1.10062,0.57942,0.00089,0.66785,0.63187,0.6597,0.54027,1.06062,1.18421,0.0011,0.000261641,0.000261641,0.000261641
86,1642.21,1.06782,0.52332,0.00086,0.63331,0.63247,0.66292,0.54867,1.02592,1.23139,0.00107,0.000246779,0.000246779,0.000246779
87,1661.43,1.04989,0.4743,0.00086,0.62259,0.59212,0.63016,0.51902,1.01699,1.28997,0.00104,0.000231918,0.000231918,0.000231918
88,1680.55,1.09202,0.52619,0.00086,0.58781,0.62753,0.64769,0.54169,0.94926,1.24974,0.00092,0.000217056,0.000217056,0.000217056
89,1699.57,1.06507,0.52394,0.00084,0.64837,0.62996,0.6566,0.54428,0.99213,1.24371,0.00097,0.000202195,0.000202195,0.000202195
90,1718.64,1.07061,0.51881,0.00086,0.67478,0.61055,0.65876,0.54443,0.9883,1.25329,0.00095,0.000187334,0.000187334,0.000187334
91,1737.78,1.07945,0.49644,0.00084,0.66386,0.6288,0.6563,0.5572,0.90093,1.22954,0.00088,0.000172472,0.000172472,0.000172472
92,1762.95,0.87881,0.30324,0.00072,0.7739,0.55793,0.641,0.54477,0.94205,1.2542,0.00091,0.000157611,0.000157611,0.000157611
93,1783.52,0.87981,0.31623,0.00073,0.64613,0.63359,0.63307,0.53726,0.97785,1.29448,0.00092,0.000142749,0.000142749,0.000142749
94,1803.11,0.86628,0.29357,0.00071,0.60938,0.61826,0.63488,0.53542,0.95931,1.28068,0.00091,0.000127888,0.000127888,0.000127888
95,1822.84,0.84021,0.29606,0.00071,0.66268,0.61307,0.64644,0.54305,0.98089,1.24659,0.00094,0.000113027,0.000113027,0.000113027
96,1842.01,0.80879,0.27316,0.00067,0.6434,0.62552,0.64387,0.54242,0.96383,1.24111,0.00091,9.81651e-05,9.81651e-05,9.81651e-05
97,1861.68,0.82093,0.29236,0.0007,0.67066,0.62564,0.64509,0.53806,0.96775,1.24725,0.00092,8.33037e-05,8.33037e-05,8.33037e-05
98,1880.41,0.84465,0.31846,0.00068,0.6756,0.61665,0.64307,0.53333,0.96412,1.25595,0.00091,6.84423e-05,6.84423e-05,6.84423e-05
99,1899.11,0.83606,0.30882,0.0007,0.63787,0.62149,0.64406,0.53903,0.95604,1.2492,0.00091,5.35808e-05,5.35808e-05,5.35808e-05
100,1917.85,0.80832,0.27943,0.00067,0.64277,0.61432,0.64856,0.53747,0.9642,1.2438,0.00091,3.87194e-05,3.87194e-05,3.87194e-05
