epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
80,1509.49,1.07782,0.57192,0.00083,0.715,0.47683,0.52912,0.43689,0.99258,1.47683,0.00096,4.73887e-05,4.73887e-05,4.73887e-05
81,1528.21,1.06322,0.59948,0.0008,0.72376,0.45627,0.52374,0.43404,0.96974,1.47625,0.00093,4.52923e-05,4.52923e-05,4.52923e-05
82,1546.93,1.04607,0.61863,0.0008,0.74799,0.44671,0.52339,0.43179,0.98163,1.48104,0.00093,4.3196e-05,4.3196e-05,4.3196e-05
83,1565.64,0.9911,0.54668,0.00079,0.7428,0.44529,0.51973,0.43329,0.9753,1.49459,0.00094,4.10996e-05,4.10996e-05,4.10996e-05
84,1584.48,1.03218,0.57094,0.00082,0.66773,0.48522,0.5169,0.42652,0.98207,1.51176,0.00093,3.90033e-05,3.90033e-05,3.90033e-05
85,1603.2,1.01224,0.57693,0.00079,0.78231,0.42531,0.51533,0.43035,0.96508,1.5085,0.00091,3.69069e-05,3.69069e-05,3.69069e-05
86,1622.03,1.0106,0.51434,0.00078,0.72762,0.4622,0.51493,0.42922,0.96631,1.51029,0.00092,3.48106e-05,3.48106e-05,3.48106e-05
87,1640.79,0.96908,0.50051,0.00076,0.77939,0.44033,0.51381,0.42803,0.95496,1.48961,0.00091,3.27142e-05,3.27142e-05,3.27142e-05
88,1659.53,1.02931,0.55347,0.00078,0.76557,0.44816,0.51587,0.42714,0.96676,1.48245,0.00093,3.06179e-05,3.06179e-05,3.06179e-05
89,1678.31,0.99222,0.5682,0.00077,0.76315,0.4451,0.51425,0.42807,0.95645,1.49487,0.00091,2.85216e-05,2.85216e-05,2.85216e-05
90,1697.1,1.03145,0.55167,0.00081,0.73541,0.45149,0.51984,0.43099,0.98836,1.4946,0.00093,2.64252e-05,2.64252e-05,2.64252e-05
91,1715.94,1.01695,0.52772,0.00077,0.76613,0.44577,0.513,0.42607,0.95605,1.48265,0.00091,2.43289e-05,2.43289e-05,2.43289e-05
92,1738.48,0.84719,0.3639,0.00068,0.68416,0.4804,0.52477,0.43845,0.96901,1.47028,0.00094,2.22325e-05,2.22325e-05,2.22325e-05
93,1757.59,0.84971,0.3903,0.00068,0.73206,0.46848,0.5314,0.4427,0.99671,1.45523,0.00097,2.01362e-05,2.01362e-05,2.01362e-05
94,1776.59,0.85678,0.36872,0.0007,0.76681,0.46779,0.53573,0.44292,1.01594,1.45163,0.00098,1.80398e-05,1.80398e-05,1.80398e-05
95,1795.44,0.83922,0.38788,0.0007,0.76455,0.46617,0.53763,0.45092,0.99439,1.44881,0.00096,1.59435e-05,1.59435e-05,1.59435e-05
96,1814.24,0.80373,0.33856,0.00066,0.75732,0.46781,0.53817,0.45047,0.98619,1.45225,0.00095,1.38471e-05,1.38471e-05,1.38471e-05
97,1833.02,0.80055,0.35074,0.00066,0.71422,0.47263,0.53486,0.44639,0.98998,1.4561,0.00096,1.17508e-05,1.17508e-05,1.17508e-05
98,1851.72,0.83451,0.36159,0.00067,0.78653,0.46354,0.53398,0.44393,0.98507,1.46354,0.00095,9.65444e-06,9.65444e-06,9.65444e-06
99,1870.48,0.81091,0.35659,0.00067,0.71301,0.47353,0.53324,0.44447,0.97733,1.46404,0.00095,7.55809e-06,7.55809e-06,7.55809e-06
100,1889.18,0.80185,0.34268,0.00065,0.71147,0.47939,0.53226,0.44388,0.97373,1.46918,0.00094,5.46175e-06,5.46175e-06,5.46175e-06
